begin_file	begin_time	end_time	low_freq	high_freq	usv_type
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	11.870004	12.520004	16375.0	70625.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	12.710004	13.340004	16375.0	70625.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	13.660004	14.220004	16375.0	70625.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	14.560004	15.200004	16375.0	70625.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	15.530004	16.060004	16375.0	70625.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	24.597004	26.157004	16125.0	75375.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	26.337004	27.207004	16125.0	75375.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	27.377004	28.327004	16125.0	75375.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	28.467004	29.337004	16125.0	75375.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	29.517004	30.257004	16125.0	75375.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	34.896	36.266	17375.0	71750.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	36.436	37.536	17375.0	71750.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	37.716	38.606	17375.0	71750.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	38.766	39.366	17375.0	71750.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	39.756	40.466	17375.0	71750.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	45.094004	46.304004	16500.0	76000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	46.494004	47.324004	16500.0	76000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	47.504004	48.304004	16500.0	76000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	48.464004	48.954004	16500.0	76000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	63.283	64.773	17625.0	73125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	64.793	64.953	17625.0	73125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	65.163	66.133	17625.0	73125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	66.313	67.083	17625.0	73125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	67.263	67.973	17625.0	73125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	68.183	69.153	17625.0	73125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	69.323	69.933	17625.0	73125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	82.139	83.439	17250.0	76125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	83.629	84.249	17250.0	76125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	87.758996	89.758996	18250.0	72625.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_150742_384K_1Ch_a58_r.wav	89.908996	90.468996	18250.0	72625.0	22kHz
