begin_file	begin_time	end_time	low_freq	high_freq	usv_type
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	14.585004	16.245004	17500.0	58875.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	16.365004	17.595004	17500.0	58875.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	17.725004	18.835004	17500.0	58875.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	18.965004	19.955004	17500.0	58875.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	20.085004	21.095004	17500.0	58875.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	21.215004	22.285004	17500.0	58875.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	22.405004	23.615004	17500.0	58875.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	23.765004	24.695004	17500.0	58875.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	25.215004	26.335004	17500.0	58875.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	26.465004	26.945004	17500.0	58875.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	29.963004	31.393004	17625.0	55125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	31.543004	32.473004	17625.0	55125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	32.973004	34.093004	17625.0	55125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	38.899004	40.409004	17375.0	55000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	40.539004	41.729004	17375.0	55000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	41.869004	42.749004	17375.0	55000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	42.849004	43.709004	17375.0	55000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	43.839004	44.819004	17375.0	55000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	49.653	51.053	17500.0	55125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	51.223	52.253	17500.0	55125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	52.393	53.263	17500.0	55125.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	54.877	55.807	17875.0	52000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	56.497	57.477	17875.0	52000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	63.583	64.943	17500.0	58000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	65.033	65.953	17500.0	58000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	66.113	66.843	17500.0	58000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	66.963	67.843	17500.0	58000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	69.113	70.333	17500.0	58000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	70.493	71.213	17500.0	58000.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	79.985004	81.335004	18000.0	58250.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	81.485004	82.295004	18000.0	58250.0	22kHz
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_153035_384K_1Ch_a60_r.wav	82.425004	83.365004	18000.0	58250.0	22kHz
