file	begin_time	end_time	low_freq	high_freq	USV_TYPE
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	12.77	13.7	19531.25	27343.75	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	13.87	14.56	20019.53	26367.19	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	16.79	17.46	19531.25	26367.19	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	17.86	18.32	20019.53	26367.19	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	18.66	19.24	20019.53	27343.75	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	19.57	20.44	19042.97	27343.75	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	20.61	21.32	20019.53	26367.19	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	21.52	22.13	19042.97	27343.75	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	22.9	23.85	19042.97	27343.75	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	24.04	24.7	19531.25	26855.47	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	26.87	27.37	20507.81	28320.31	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	37.1	37.48	20507.81	29296.88	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	39.48	39.8	20996.09	29785.16	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	40.94	41.29	21484.38	29785.16	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	45.97	46.3	21972.66	29296.88	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	64.31	64.71	20019.53	29296.88	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	66.84	67.29	18066.41	23437.5	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	68.84	69.46	20019.53	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	70.33	70.71	20019.53	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	84.95	86.33	18066.41	24902.34	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	95.2	96.39	18066.41	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	96.82	97.32	20019.53	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	120.56	121.43	18066.41	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	127.43	127.8	20019.53	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_145634_384K_1Ch_a57_r.pkl	128.67	129.05	20019.53	25878.91	22khz
