file	begin_time	end_time	low_freq	high_freq	duration	USV_TYPE
20181026_142935_384K_1Ch_a55_r.wav	10.28	11.59	20886.36	24977.27	1.31	22khz
20181026_142935_384K_1Ch_a55_r.wav	11.76	12.3	20886.36	23727.27	0.54	22khz
20181026_142935_384K_1Ch_a55_r.wav	12.44	13.12	20681.82	23613.64	0.68	22khz
20181026_142935_384K_1Ch_a55_r.wav	12.44	13.0	20886.36	23613.64	0.56	22khz
20181026_142935_384K_1Ch_a55_r.wav	13.3	14.19	20772.73	23522.73	0.89	22khz
20181026_142935_384K_1Ch_a55_r.wav	25.36	27.01	20681.82	24772.73	1.65	22khz
20181026_142935_384K_1Ch_a55_r.wav	27.18	28.15	20363.64	22886.36	0.98	22khz
20181026_142935_384K_1Ch_a55_r.wav	28.34	28.99	20568.18	22977.27	0.64	22khz
20181026_142935_384K_1Ch_a55_r.wav	29.13	29.92	20681.82	23204.55	0.8	22khz
20181026_142935_384K_1Ch_a55_r.wav	30.11	31.11	20886.36	23295.45	1.0	22khz
20181026_142935_384K_1Ch_a55_r.wav	31.29	32.24	21090.91	23522.73	0.95	22khz
20181026_142935_384K_1Ch_a55_r.wav	31.29	32.25	21090.91	23522.73	0.95	22khz
20181026_142935_384K_1Ch_a55_r.wav	32.46	33.5	21204.55	23522.73	1.04	22khz
20181026_142935_384K_1Ch_a55_r.wav	32.46	33.0	22250.0	23522.73	0.54	22khz
20181026_142935_384K_1Ch_a55_r.wav	33.73	34.43	20681.82	23613.64	0.7	22khz
20181026_142935_384K_1Ch_a55_r.wav	39.63	40.75	21000.0	24136.36	1.12	22khz
20181026_142935_384K_1Ch_a55_r.wav	40.0	40.74	21522.73	23409.09	0.74	22khz
20181026_142935_384K_1Ch_a55_r.wav	40.92	41.62	20772.73	23522.73	0.7	22khz
20181026_142935_384K_1Ch_a55_r.wav	40.93	41.62	20772.73	23409.09	0.69	22khz
20181026_142935_384K_1Ch_a55_r.wav	41.8	42.75	21000.0	23522.73	0.95	22khz
20181026_142935_384K_1Ch_a55_r.wav	41.8	42.76	20886.36	23522.73	0.95	22khz
20181026_142935_384K_1Ch_a55_r.wav	42.92	43.55	21000.0	23522.73	0.64	22khz
20181026_142935_384K_1Ch_a55_r.wav	48.29	49.82	21931.82	26659.09	1.54	22khz
20181026_142935_384K_1Ch_a55_r.wav	50.0	51.23	21000.0	23409.09	1.23	22khz
20181026_142935_384K_1Ch_a55_r.wav	50.03	51.23	21000.0	23409.09	1.21	22khz
20181026_142935_384K_1Ch_a55_r.wav	51.43	51.95	20681.82	23295.45	0.52	22khz
20181026_142935_384K_1Ch_a55_r.wav	52.07	52.87	20772.73	23522.73	0.8	22khz
20181026_142935_384K_1Ch_a55_r.wav	53.03	53.86	21000.0	23522.73	0.83	22khz
20181026_142935_384K_1Ch_a55_r.wav	54.03	54.81	20772.73	23613.64	0.78	22khz
20181026_142935_384K_1Ch_a55_r.wav	54.97	55.63	22136.36	23727.27	0.66	22khz
20181026_142935_384K_1Ch_a55_r.wav	58.15	59.15	21295.45	24659.09	1.0	22khz
20181026_142935_384K_1Ch_a55_r.wav	59.34	59.91	21409.09	23613.64	0.57	22khz
20181026_142935_384K_1Ch_a55_r.wav	65.87	67.09	20886.36	26045.45	1.21	22khz
20181026_142935_384K_1Ch_a55_r.wav	67.29	68.33	20772.73	23522.73	1.04	22khz
20181026_142935_384K_1Ch_a55_r.wav	68.54	69.46	21840.91	23522.73	0.93	22khz
20181026_142935_384K_1Ch_a55_r.wav	72.06	73.09	22136.36	24568.18	1.03	22khz
20181026_142935_384K_1Ch_a55_r.wav	72.06	73.0	22681.82	24568.18	0.94	22khz
20181026_142935_384K_1Ch_a55_r.wav	73.31	74.15	21727.27	23727.27	0.85	22khz
20181026_142935_384K_1Ch_a55_r.wav	84.48	85.84	20886.36	26045.45	1.36	22khz
20181026_142935_384K_1Ch_a55_r.wav	86.12	87.15	20886.36	23613.64	1.03	22khz
20181026_142935_384K_1Ch_a55_r.wav	87.36	88.27	22045.45	24045.45	0.91	22khz
20181026_142935_384K_1Ch_a55_r.wav	88.45	89.22	22045.45	24136.36	0.77	22khz
20181026_142935_384K_1Ch_a55_r.wav	99.95	101.11	22250.0	26772.73	1.16	22khz
20181026_142935_384K_1Ch_a55_r.wav	100.0	101.11	22250.0	26136.36	1.11	22khz
