file	begin_time	end_time	low_freq	high_freq	duration	USV_TYPE
20181026_145634_384K_1Ch_a57_r.wav	12.77	13.7	22136.36	23613.64	0.93	22khz
20181026_145634_384K_1Ch_a57_r.wav	13.88	14.57	22136.36	23409.09	0.7	22khz
20181026_145634_384K_1Ch_a57_r.wav	14.75	15.4	22454.55	23522.73	0.65	22khz
20181026_145634_384K_1Ch_a57_r.wav	15.77	16.62	22250.0	23613.64	0.86	22khz
20181026_145634_384K_1Ch_a57_r.wav	16.79	17.46	22454.55	23409.09	0.67	22khz
20181026_145634_384K_1Ch_a57_r.wav	17.65	18.32	22454.55	23727.27	0.67	22khz
20181026_145634_384K_1Ch_a57_r.wav	18.66	19.23	22363.64	23522.73	0.58	22khz
20181026_145634_384K_1Ch_a57_r.wav	19.57	20.44	22250.0	23409.09	0.87	22khz
20181026_145634_384K_1Ch_a57_r.wav	20.62	21.33	22136.36	23522.73	0.7	22khz
20181026_145634_384K_1Ch_a57_r.wav	21.52	22.13	22454.55	23613.64	0.61	22khz
20181026_145634_384K_1Ch_a57_r.wav	22.92	23.85	22136.36	23727.27	0.94	22khz
20181026_145634_384K_1Ch_a57_r.wav	24.04	24.71	22045.45	23522.73	0.67	22khz
20181026_145634_384K_1Ch_a57_r.wav	37.0	37.61	24250.0	25409.09	0.61	22khz
20181026_145634_384K_1Ch_a57_r.wav	37.75	38.46	23295.45	25613.64	0.71	22khz
20181026_145634_384K_1Ch_a57_r.wav	45.62	46.8	24454.55	30545.45	1.18	22khz
20181026_145634_384K_1Ch_a57_r.wav	55.46	57.41	21409.09	27295.45	1.95	22khz
20181026_145634_384K_1Ch_a57_r.wav	57.59	58.9	20681.82	23931.82	1.31	22khz
20181026_145634_384K_1Ch_a57_r.wav	59.08	60.11	21000.0	23613.64	1.03	22khz
20181026_145634_384K_1Ch_a57_r.wav	60.26	60.99	21295.45	24045.45	0.73	22khz
20181026_145634_384K_1Ch_a57_r.wav	64.32	67.29	20250.0	26454.55	2.97	22khz
20181026_145634_384K_1Ch_a57_r.wav	67.45	68.67	20454.55	23409.09	1.21	22khz
20181026_145634_384K_1Ch_a57_r.wav	68.84	69.97	21409.09	23409.09	1.13	22khz
20181026_145634_384K_1Ch_a57_r.wav	70.13	71.07	21931.82	23818.18	0.94	22khz
20181026_145634_384K_1Ch_a57_r.wav	70.13	71.08	21931.82	23818.18	0.94	22khz
20181026_145634_384K_1Ch_a57_r.wav	71.23	72.24	22454.55	23931.82	1.01	22khz
20181026_145634_384K_1Ch_a57_r.wav	71.23	72.25	22454.55	23931.82	1.01	22khz
20181026_145634_384K_1Ch_a57_r.wav	76.94	78.37	21000.0	25090.91	1.42	22khz
20181026_145634_384K_1Ch_a57_r.wav	84.35	86.41	20363.64	25818.18	2.06	22khz
20181026_145634_384K_1Ch_a57_r.wav	86.61	88.03	21000.0	22977.27	1.42	22khz
20181026_145634_384K_1Ch_a57_r.wav	88.23	89.48	21204.55	23295.45	1.25	22khz
20181026_145634_384K_1Ch_a57_r.wav	93.33	94.96	21522.73	25409.09	1.64	22khz
20181026_145634_384K_1Ch_a57_r.wav	95.14	96.38	20681.82	23295.45	1.25	22khz
20181026_145634_384K_1Ch_a57_r.wav	96.59	97.53	21613.64	23295.45	0.94	22khz
20181026_145634_384K_1Ch_a57_r.wav	97.7	98.78	21931.82	23522.73	1.08	22khz
20181026_145634_384K_1Ch_a57_r.wav	105.18	106.37	22886.36	28022.73	1.19	22khz
20181026_145634_384K_1Ch_a57_r.wav	106.54	107.5	22045.45	23931.82	0.96	22khz
20181026_145634_384K_1Ch_a57_r.wav	107.67	108.7	22363.64	23727.27	1.03	22khz
20181026_145634_384K_1Ch_a57_r.wav	108.89	109.9	22136.36	23727.27	1.01	22khz
20181026_145634_384K_1Ch_a57_r.wav	119.38	121.43	20772.73	27181.82	2.05	22khz
20181026_145634_384K_1Ch_a57_r.wav	120.0	121.43	20772.73	23522.73	1.43	22khz
20181026_145634_384K_1Ch_a57_r.wav	121.61	122.5	22250.0	23727.27	0.89	22khz
20181026_145634_384K_1Ch_a57_r.wav	126.32	127.29	21295.45	24977.27	0.97	22khz
20181026_145634_384K_1Ch_a57_r.wav	127.42	128.48	21727.27	23522.73	1.07	22khz
20181026_145634_384K_1Ch_a57_r.wav	128.67	129.63	21409.09	23522.73	0.96	22khz
20181026_145634_384K_1Ch_a57_r.wav	133.78	134.29	24363.64	28136.36	0.51	22khz
