file	begin_time	end_time	low_freq	high_freq	duration	USV_TYPE
20181026_150742_384K_1Ch_a58_r.wav	11.87	12.52	19931.82	21931.82	0.65	22khz
20181026_150742_384K_1Ch_a58_r.wav	12.72	13.33	20045.45	22045.45	0.61	22khz
20181026_150742_384K_1Ch_a58_r.wav	13.67	14.21	19840.91	21840.91	0.54	22khz
20181026_150742_384K_1Ch_a58_r.wav	14.56	15.19	20045.45	22045.45	0.63	22khz
20181026_150742_384K_1Ch_a58_r.wav	15.53	16.05	20045.45	21931.82	0.53	22khz
20181026_150742_384K_1Ch_a58_r.wav	24.59	26.15	19840.91	23522.73	1.56	22khz
20181026_150742_384K_1Ch_a58_r.wav	26.33	27.2	19840.91	21727.27	0.87	22khz
20181026_150742_384K_1Ch_a58_r.wav	27.38	28.32	19931.82	21727.27	0.94	22khz
20181026_150742_384K_1Ch_a58_r.wav	28.47	29.33	20045.45	21840.91	0.87	22khz
20181026_150742_384K_1Ch_a58_r.wav	29.51	30.25	20363.64	21931.82	0.74	22khz
20181026_150742_384K_1Ch_a58_r.wav	34.9	36.26	19931.82	23204.55	1.35	22khz
20181026_150742_384K_1Ch_a58_r.wav	36.44	37.53	19613.64	21727.27	1.09	22khz
20181026_150742_384K_1Ch_a58_r.wav	37.72	38.6	20159.09	21840.91	0.88	22khz
20181026_150742_384K_1Ch_a58_r.wav	38.77	39.36	19840.91	22045.45	0.6	22khz
20181026_150742_384K_1Ch_a58_r.wav	39.76	40.46	20159.09	22045.45	0.7	22khz
20181026_150742_384K_1Ch_a58_r.wav	45.1	46.3	19613.64	23204.55	1.21	22khz
20181026_150742_384K_1Ch_a58_r.wav	46.49	47.32	19522.73	21840.91	0.82	22khz
20181026_150742_384K_1Ch_a58_r.wav	47.5	48.29	20045.45	21931.82	0.79	22khz
20181026_150742_384K_1Ch_a58_r.wav	48.46	49.0	19931.82	21931.82	0.54	22khz
20181026_150742_384K_1Ch_a58_r.wav	63.28	64.97	19522.73	24363.64	1.7	22khz
20181026_150742_384K_1Ch_a58_r.wav	65.16	66.13	19409.09	21931.82	0.97	22khz
20181026_150742_384K_1Ch_a58_r.wav	66.31	67.08	19613.64	22136.36	0.76	22khz
20181026_150742_384K_1Ch_a58_r.wav	67.26	67.97	19522.73	22045.45	0.72	22khz
20181026_150742_384K_1Ch_a58_r.wav	68.18	69.15	19522.73	22136.36	0.97	22khz
20181026_150742_384K_1Ch_a58_r.wav	69.33	69.92	19613.64	22250.0	0.59	22khz
20181026_150742_384K_1Ch_a58_r.wav	82.13	83.0	20886.36	24568.18	0.87	22khz
20181026_150742_384K_1Ch_a58_r.wav	82.14	83.43	19931.82	24454.55	1.3	22khz
20181026_150742_384K_1Ch_a58_r.wav	83.62	84.24	19613.64	22363.64	0.62	22khz
20181026_150742_384K_1Ch_a58_r.wav	87.75	89.75	19840.91	25204.55	2.0	22khz
20181026_150742_384K_1Ch_a58_r.wav	89.91	90.46	19522.73	22363.64	0.55	22khz
